Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Anmerkung,Versand, Preis,Anzahl,Summe  Karat,Preis/Karat,,,,,,,,,
Tansanit,Tansania,,VVS,,transparent,Rund,Cut,"0,96",5.50x5.50x4.56,"11,82","12,31",,,,,1,,,,,,,,"17,73"
Tansanit,Tansania,,VVS,Violett-blau,transparent,Rund,Cut,"0,99","6,40x6,40x3,07","15,56","15,72",Ebay,"16,99","1,43",,1,,,,,,,,"23,34"
Tansanit,Tansania,,VVS,Violett-blau,transparent,Trilliant,Cut,"1,03","6,43x6,48x3,62","23,37","22,69",Ebay,"16,49","-6,88",,1,,,,,,,,"35,06"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,03","7,86x5,83x3,04","19,86","19,28",Ebay,"19,99","0,13",,1,,,,,,,,"29,79"
Tansanit,Tansania,,VVS,Violett-blau,transparent,rund,Cut,"1,05","6,25x6,25x4,00","18,2","17,33",'–,'–,,,1,,,,,,,,"27,3"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,07", 7.99 X 5.94 X 3.45,"17,99","16,81",Ebay,"20,5","2,51",,1,,,,,,,,"26,99"
Tansanit,Tansania,,VVS,,transparent,Rund,Cut,"1,07","6,28x6,28x3,54","9,25","8,64",,,,,1,,,,,,,,"13,88"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"1,07",8.74X5.66X3.37,"15,48","14,47",,,,,1,,,,,,,,"23,22"
Tansanit,Tansania,,IF ,Violett-blau,transparent,Smaragd,Cut,"1,1","8,22x5,07x2,86","24,59","22,35",?,,,,1,,,,,,,,"36,89"
Tansanit,Tansania,,IF ,Violett-blau,transparent,Trilliant,Cut,"1,14","6,82x6,73x3,88","21,03","18,45",'–,'–,,,1,,,,,,,,"31,55"
Tansanit,Tansania,,IF ,Violett-blau,transparent,Trilliant,Cut,"1,15","7,05X7,06X3,84","19,86","17,27",'–,'–,,,1,,,,,,,,"29,79"
Tansanit,Tansania,,IF ,,transparent,Kissen,Cut,"1,22",6.55x6.45x3.78,"35,08","28,75",Ebay,"40,49","5,41",,1,,,,,,,,"52,62"
