name,type,description,price,currency,category,color,origin,mineLocation,caratWeight,gramWeight,cut,cutForm,cutQuality,clarity,clarityGrade,colorGrade,colorIntensity,colorSaturation,symmetry,polish,crystalQuality,crystalForm,transparency,estimatedCaratYield,suitableFor,treated,treatmentType,treatmentDescription,certified,certLab,certificateNumber,certificateUrl,rarity,inStock,quantity,length,width,height,mainImage,images
Santa Maria blauer Aquamarin,cut,"herausragendes blau, erhitzt, was nicht unüblich ist, farbstabil, ",1600,EUR,Aquamarin,blau,Brasilien,,6.96,,Kissen,Kissen,sehr gut,Augenrein,keine mit bloßem Auge erkennbaren Einschlüsse,,Intense,8,Excellent,Excellent,,,Transparent,,"Schmuck, Sammlerstück",true,heated,,true,ICI,,,Außergewöhnlich,true,1,12.12,10.38,7.62,/home/cip050669/CascadeProjects/gemilike-website/public/products/696_Aqua-1.jpg,/home/cip050669/CascadeProjects/gemilike-website/public/products/696_Aqua-2.jpg
Eine absolute Seltenheit,cut,glasklarer Amazonit in ungewöhnlicher Größe,15000,EUR,Amazonit,grün,Vietnam,,5.55,,Kissen,Kissen,sehr gut,kleine Einschlüsse,beeinträchtigen nicht den optischen Eindruck,,medium,6,Excellent,Excellent,,,Transparent,,,false,,,true,DSEF,,,Außergewöhnlich,true,1,12.3,8.88,4.2,,


